SHELL32!CContextMenuOnContextMenuArray::InvokeCommand+0x80,00000000`0015cda0,000007fe`fe47d483,SHELL32!CContextMenuOnContextMenuArray::InvokeCommand+0x80,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CDefView::_InvokeContextMenu+0xdb,00000000`0015cde0,000007fe`fe47c8f0,SHELL32!CDefView::_InvokeContextMenu+0xdb,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CDefView::_DoContextMenuPopup+0x648,00000000`0015d150,000007fe`fe47ce41,SHELL32!CDefView::_DoContextMenuPopup+0x648,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CDefView::OnBackgroundContextMenu+0x2d1,00000000`0015d520,000007fe`fe5639f1,SHELL32!CDefView::OnBackgroundContextMenu+0x2d1,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CListViewHost::ShowContextMenu+0x1f1,00000000`0015d5e0,000007fe`fe483294,SHELL32!CListViewHost::ShowContextMenu+0x1f1,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CDefView::_OnContextMenu+0x110,00000000`0015d670,000007fe`fe3beb56,SHELL32!CDefView::_OnContextMenu+0x110,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CDefView::WndProc+0x889,00000000`0015d6f0,000007fe`fe2a0c63,SHELL32!CDefView::WndProc+0x889,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CDefView::s_WndProc+0x7c,00000000`0015d8c0,00000000`77479bd1,SHELL32!CDefView::s_WndProc+0x7c,,,,,,,,,,,,,,,,,,,,,,,,,,
USER32!UserCallWinProcCheckWow+0x1ad,00000000`0015d900,00000000`77473bfc,USER32!UserCallWinProcCheckWow+0x1ad,,,,,,,,,,,,,,,,,,,,,,,,,,
USER32!CallWindowProcAorW+0xdc,00000000`0015d9c0,00000000`77473b78,USER32!CallWindowProcAorW+0xdc,,,,,,,,,,,,,,,,,,,,,,,,,,
USER32!CallWindowProcW+0x18,00000000`0015da10,000007fe`fbe16215,USER32!CallWindowProcW+0x18,,,,,,,,,,,,,,,,,,,,,,,,,,
comctl32!CallOriginalWndProc+0x1d,00000000`0015da50,000007fe`fbe169a0,comctl32!CallOriginalWndProc+0x1d,,,,,,,,,,,,,,,,,,,,,,,,,,
comctl32!CallNextSubclassProc+0x8c,00000000`0015da90,000007fe`fbe16768,comctl32!CallNextSubclassProc+0x8c,,,,,,,,,,,,,,,,,,,,,,,,,,
comctl32!DefSubclassProc+0x7c,00000000`0015db10,000007fe`fe2a0a9e,comctl32!DefSubclassProc+0x7c,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!DefSubclassProc+0x56,00000000`0015db60,000007fe`fe2a0eb3,SHELL32!DefSubclassProc+0x56,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CListViewHost::_ViewSubclassWndProc+0x3e1,00000000`0015db90,000007fe`fe2a0ddf,SHELL32!CListViewHost::_ViewSubclassWndProc+0x3e1,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CListViewHost::s_ViewSubclassWndProc+0x4f,00000000`0015de50,000007fe`fbe169a0,SHELL32!CListViewHost::s_ViewSubclassWndProc+0x4f,,,,,,,,,,,,,,,,,,,,,,,,,,
comctl32!CallNextSubclassProc+0x8c,00000000`0015dea0,000007fe`fbe16877,comctl32!CallNextSubclassProc+0x8c,,,,,,,,,,,,,,,,,,,,,,,,,,
comctl32!MasterSubclassProc+0xe7,00000000`0015df20,00000000`77479bd1,comctl32!MasterSubclassProc+0xe7,,,,,,,,,,,,,,,,,,,,,,,,,,
USER32!UserCallWinProcCheckWow+0x1ad,00000000`0015dfc0,00000000`774772cb,USER32!UserCallWinProcCheckWow+0x1ad,,,,,,,,,,,,,,,,,,,,,,,,,,
USER32!DispatchClientMessage+0xc3,00000000`0015e080,00000000`77476829,USER32!DispatchClientMessage+0xc3,,,,,,,,,,,,,,,,,,,,,,,,,,
USER32!_fnDWORD+0x2d,00000000`0015e0e0,00000000`775b1225,USER32!_fnDWORD+0x2d,,,,,,,,,,,,,,,,,,,,,,,,,,
ntdll!KiUserCallbackDispatcherContinue,00000000`0015e140,00000000`7747685a,ntdll!KiUserCallbackDispatcherContinue,,,,,,,,,,,,,,,,,,,,,,,,,,
USER32!ZwUserMessageCall+0xa,00000000`0015e1c8,00000000`774768a2,USER32!ZwUserMessageCall+0xa,,,,,,,,,,,,,,,,,,,,,,,,,,
USER32!RealDefWindowProcWorker+0xa4,00000000`0015e1d0,00000000`7747760e,USER32!RealDefWindowProcWorker+0xa4,,,,,,,,,,,,,,,,,,,,,,,,,,
USER32!RealDefWindowProcW+0x5a,00000000`0015e2a0,000007fe`fba51644,USER32!RealDefWindowProcW+0x5a,,,,,,,,,,,,,,,,,,,,,,,,,,
UxTheme!_ThemeDefWindowProc(struct,00000000`0015e2e0,000007fe`fba51445,UxTheme!_ThemeDefWindowProc(struct,HWND__,*,hwnd,=,"0x00000000`00000001,",unsigned,int,uMsg,=,"0x219049c,",unsigned,int64,wParam,=,"0x100fc,",int64,lParam,=,"0n35194012,",int,bUnicode,=,0n1)+0x278,[d:\w7rtm\shell\themes\uxtheme\sethook.cpp,@,1058]
UxTheme!ThemeDefWindowProcW(struct,00000000`0015e390,00000000`774789d3,UxTheme!ThemeDefWindowProcW(struct,HWND__,*,hwnd,=,"0x00000000`0015e408,",unsigned,int,uMsg,=,"0x30,",unsigned,int64,wParam,=,"0x77488bca,",int64,lParam,=,0n0)+0x11,[d:\w7rtm\shell\themes\uxtheme\sethook.cpp,@,1076],,,,
USER32!DefWindowProcW+0xe6,00000000`0015e3d0,000007fe`fbe78a9e,USER32!DefWindowProcW+0xe6,,,,,,,,,,,,,,,,,,,,,,,,,,
comctl32!CListView::WndProc+0x2a42,00000000`0015e420,000007fe`fbe76011,comctl32!CListView::WndProc+0x2a42,,,,,,,,,,,,,,,,,,,,,,,,,,
comctl32!CListView::s_WndProc+0x6cd,00000000`0015e620,00000000`77479bd1,comctl32!CListView::s_WndProc+0x6cd,,,,,,,,,,,,,,,,,,,,,,,,,,
USER32!UserCallWinProcCheckWow+0x1ad,00000000`0015e680,00000000`77473bfc,USER32!UserCallWinProcCheckWow+0x1ad,,,,,,,,,,,,,,,,,,,,,,,,,,
USER32!CallWindowProcAorW+0xdc,00000000`0015e740,00000000`77473b78,USER32!CallWindowProcAorW+0xdc,,,,,,,,,,,,,,,,,,,,,,,,,,
USER32!CallWindowProcW+0x18,00000000`0015e790,000007fe`fbe16215,USER32!CallWindowProcW+0x18,,,,,,,,,,,,,,,,,,,,,,,,,,
comctl32!CallOriginalWndProc+0x1d,00000000`0015e7d0,000007fe`fbe169a0,comctl32!CallOriginalWndProc+0x1d,,,,,,,,,,,,,,,,,,,,,,,,,,
comctl32!CallNextSubclassProc+0x8c,00000000`0015e810,000007fe`fbe16768,comctl32!CallNextSubclassProc+0x8c,,,,,,,,,,,,,,,,,,,,,,,,,,
comctl32!DefSubclassProc+0x7c,00000000`0015e890,000007fe`fe2a0a9e,comctl32!DefSubclassProc+0x7c,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!DefSubclassProc+0x56,00000000`0015e8e0,000007fe`fe2a0b7a,SHELL32!DefSubclassProc+0x56,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL32!CListViewHost::s_ListViewSubclassWndProc+0x31e,00000000`0015e910,000007fe`fbe169a0,SHELL32!CListViewHost::s_ListViewSubclassWndProc+0x31e,,,,,,,,,,,,,,,,,,,,,,,,,,
comctl32!CallNextSubclassProc+0x8c,00000000`0015e9f0,000007fe`fbe16877,comctl32!CallNextSubclassProc+0x8c,,,,,,,,,,,,,,,,,,,,,,,,,,
comctl32!MasterSubclassProc+0xe7,00000000`0015ea70,00000000`77479bd1,comctl32!MasterSubclassProc+0xe7,,,,,,,,,,,,,,,,,,,,,,,,,,
USER32!UserCallWinProcCheckWow+0x1ad,00000000`0015eb10,00000000`77476aa8,USER32!UserCallWinProcCheckWow+0x1ad,,,,,,,,,,,,,,,,,,,,,,,,,,
